longitude,latitude,code_postal,province,erreurs
73.467911,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
-73.739226,,"","24","Latitude manquante"
-0.0,-43.704247,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,-49.181594,"","59","Latitude hors Canada; Longitude hors Canada"
64.805844,,"","13","Latitude manquante; Longitude hors Canada"
,,"","13","Latitude manquante; Longitude manquante"
-73.843291,,"","24","Latitude manquante"
,,"","47","Latitude manquante; Longitude manquante"
-0.0,-49.507026,"","59","Latitude hors Canada; Longitude hors Canada"
-0.0,43.790543,"","35","Longitude hors Canada"
-128.589474,-66.275362,"","61","Latitude hors Canada"
,,"","59","Latitude manquante; Longitude manquante"
-73.132337,-46.041966,"","24","Latitude hors Canada"
-0.0,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
73.429286,-45.472716,"","24","Latitude hors Canada; Longitude hors Canada"
71.948614,45.38173,"","24","Longitude hors Canada"
79.30558,43.706175,"","35","Longitude hors Canada"
,43.898481,"","35","Longitude manquante"
-63.137628,,"","11","Latitude manquante"
-75.631962,0.0,"","35","Latitude hors Canada"
-72.152184,0.0,"","24","Latitude hors Canada"
-0.0,49.882355,"","46","Longitude hors Canada"
,,"","59","Latitude manquante; Longitude manquante"
,,"","12","Latitude manquante; Longitude manquante"
122.465928,49.056097,"","59","Longitude hors Canada"
79.335544,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
-94.505494,0.0,"","35","Latitude hors Canada"
,52.262005,"","48","Longitude manquante"
-79.069314,,"","35","Latitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
,44.536921,"","35","Longitude manquante"
,45.349235,"","35","Longitude manquante"
-71.219653,,"","24","Latitude manquante"
-0.0,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
,,"","46","Latitude manquante; Longitude manquante"
73.606533,-45.429672,"","24","Latitude hors Canada; Longitude hors Canada"
-0.0,,"","35","Latitude manquante; Longitude hors Canada"
,45.585434,"","24","Longitude manquante"
68.259002,49.195311,"","24","Longitude hors Canada"
,48.584223,"","24","Longitude manquante"
-0.0,0.0,"","48","Latitude hors Canada; Longitude hors Canada"
71.031545,-46.454694,"","24","Latitude hors Canada; Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
,50.227173,"","59","Longitude manquante"
-71.223524,,"","24","Latitude manquante"
